Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-07-11 07:06:21,false,"Glenview Running","5.05","521","41:06","--","--","0.0","167","228","8:09","4:44","52","55","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-09 09:47:33,false,"Glenview Running","10.01","1,067","1:23:03","--","--","0.0","166","175","8:18","4:47","65","65","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-08 11:43:40,false,"Glenview Running","4.90","509","39:52","--","--","0.0","167","195","8:09","5:43","33","20","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-29 08:00:39,false,"Glenview Running","3.97","396","31:20","--","--","0.0","170","202","7:54","4:56","20","13","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-27 07:30:51,false,"Golf Running","6.47","690","50:17","--","--","0.0","168","187","7:46","6:29","39","29","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
street_running,2017-06-24 08:00:47,false,"PNC Bears 5k","3.11","327","21:05","--","--","0.0","179","190","6:47","5:27","36","38","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-14 07:18:11,false,"Glenview Running","4.58","448","41:16","--","--","0.0","156","228","9:01","4:55","37","37","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-13 07:20:52,false,"Glenview Running","4.28","456","34:08","--","--","0.0","166","179","7:58","6:28","43","37","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-08 18:33:47,false,"Glenview Running","3.10","325","21:41","--","--","0.0","178","191","6:59","5:00","3","10","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
street_running,2017-06-04 07:00:19,false,"North Shore Classic 5k","3.11","325","21:20","--","--","0.0","179","187","7:04","4:17","138","141","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-03 11:45:05,false,"Glenview Running","3.91","655","34:02","--","--","0.0","157","189","8:43","1:28","7","10","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-29 12:25:21,false,"Des Plaines Running","12.10","1,277","1:40:32","--","--","0.0","167","244","8:18","6:28","32","29","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-23 17:28:07,false,"Atlanta Running","6.03","642","49:52","--","--","0.0","160","176","8:17","6:28","341","350","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-21 11:29:00,false,"Des Plaines Running","11.01","1,165","1:31:31","--","--","0.0","167","245","8:19","6:02","27","34","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-14 11:59:15,false,"Des Plaines Running","10.01","948","1:23:44","165","177","0.0","163","182","8:22","6:48","23","13","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-06 08:30:28,false,"Chicago Running","5.00","550","37:05","--","--","0.0","155","182","8:20","5:30","21","23","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-25 07:19:52,false,"Glenview Running","1.39","142","14:27","--","--","0.0","128","204","10:22","4:57","--","--","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-23 08:00:18,false,"Ravenswood 5k","3.11","330","21:39","--","--","0.0","176","188","6:53","5:46","--","3","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-21 07:23:44,false,"Glenview Running","4.52","485","35:10","--","--","0.0","170","182","7:46","5:35","19","19","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-14 07:14:53,false,"Glenview Running","5.34","571","41:55","--","--","0.0","171","180","7:51","6:36","33","30","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-09 11:57:55,false,"Glenview Running","4.49","425","35:50","167","181","0.0","165","173","7:59","7:25","28","27","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
trail_running,2017-03-29 07:18:00,false,"Tempe Running","1.65","120","38:33","--","--","0.0","98","231","23:18","7:27","402","502","0.70","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-03-27 08:52:33,false,"Tempe Running","4.42","470","35:02","--","--","0.0","165","174","7:55","6:09","20","20","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-03-23 07:39:12,false,"Glenview Running","4.46","476","36:06","--","--","0.0","169","176","8:06","6:12","25","22","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-03-11 12:30:50,false,"Northbrook Running","7.60","807","1:01:36","--","--","0.0","164","176","8:06","3:49","14","15","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-03-09 07:11:21,false,"Glenview Running","4.54","433","37:44","161","171","0.0","170","176","8:19","5:53","26","29","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-03-07 07:08:58,false,"Glenview Running","4.55","481","39:38","--","--","0.0","159","174","8:43","5:29","21","20","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-20 07:30:32,false,"Glenview Running","5.22","461","41:42","161","177","0.0","168","186","7:59","5:52","26","26","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-18 13:01:52,false,"Northbrook Running","7.01","685","58:10","167","174","0.0","164","172","8:18","4:17","21","16","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-16 07:14:16,false,"Glenview Running","5.38","510","44:07","165","177","0.0","167","178","8:12","4:40","28","28","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-14 07:17:12,false,"Glenview Running","4.47","398","35:17","165","172","0.0","169","178","7:54","6:06","30","30","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-08 07:29:14,false,"Glenview Running","0.58","62","4:47.8","--","--","0.0","164","172","8:20","4:31","--","--","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-02 07:20:26,false,"Glenview Running","5.23","559","41:34","--","--","0.0","166","182","7:57","4:20","28","28","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-01-31 07:06:14,false,"Glenview Running","5.35","572","42:58","--","--","0.0","165","174","8:02","3:41","25","27","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-01-28 13:24:55,false,"Glenview Running","5.18","549","42:47","--","--","0.0","163","184","8:15","4:22","25","23","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-01-15 11:54:35,false,"Glenview Nas Running","4.59","481","36:31","--","--","0.0","162","176","7:58","2:18","52","51","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-30 07:15:24,false,"Glenview Running","3.62","373","30:25","--","--","0.0","161","206","8:24","4:50","9","6","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-28 07:18:58,false,"Glenview Running","6.37","692","48:37","--","--","0.0","170","196","7:38","5:03","44","42","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-24 07:30:27,false,"Highland Park Running","2.94","317","21:06","--","--","0.0","177","196","7:10","5:22","35","32","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-21 07:15:56,false,"Glenview Running","5.29","571","40:52","--","--","0.0","170","196","7:43","4:56","22","29","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-15 07:16:51,false,"Glenview Running","5.22","568","40:08","--","--","0.0","171","182","7:42","7:06","7","--","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-10 07:17:13,false,"Glenview Running","3.57","369","29:36","--","--","0.0","163","234","8:17","4:36","--","3","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-07 07:10:17,false,"Glenview Running","4.54","496","34:37","--","--","0.0","168","179","7:37","4:13","24","18","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-10-28 07:23:47,false,"Glenview Running","3.62","378","29:26","--","--","0.0","166","212","8:07","4:40","--","3","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-10-25 07:18:17,false,"Glenview Running","5.20","568","38:49","--","--","0.0","172","195","7:28","3:50","44","41","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-10-17 07:23:55,false,"Glenview Nas Running","4.39","482","35:10","--","--","0.0","167","180","8:00","1:56","42","42","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-10-10 07:28:06,false,"Glenview Running","3.61","370","29:38","--","--","0.0","163","203","8:13","2:58","2","5","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-10-05 07:46:26,false,"Glenview Nas Running","4.47","485","33:13","--","--","0.0","170","181","7:26","5:59","43","43","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-10-03 07:53:26,false,"Glostrup Running","2.28","252","18:40","--","--","0.0","169","183","8:12","2:33","--","--","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-27 07:13:24,false,"Glenview Running","3.63","387","28:39","--","--","0.0","168","223","7:54","4:22","3","3","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-26 06:59:16,false,"Glenview Nas Running","5.81","631","45:05","--","--","0.0","170","183","7:46","5:58","25","19","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-24 18:32:07,false,"Glenview Nas Running","4.67","493","38:11","--","--","0.0","158","220","8:11","3:16","7","10","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-20 07:21:14,false,"Glenview Running","6.37","689","49:35","--","--","0.0","170","181","7:47","5:25","23","20","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-18 08:30:20,false,"Bucktown 5K","3.12","334","20:59","--","--","0.0","175","186","6:44","4:17","--","--","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-14 07:06:05,false,"Glenview Running","3.68","381","30:42","--","--","0.0","162","207","8:21","4:00","6","9","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-12 07:25:28,false,"Glenview Running","6.38","699","49:57","--","--","0.0","166","179","7:50","2:34","27","27","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-10 07:00:00,false,"Run Mag Mile 5K","3.11","347","21:28","--","--","0.0","173","191","6:55","4:42","13","15","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-09 07:20:54,false,"Glenview Running","3.86","421","33:15","--","--","0.0","162","176","8:37","4:59","10","10","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-07 07:24:00,false,"Glenview Running","5.17","559","42:23","--","--","0.0","168","175","8:12","5:36","16","17","1.17","0.0","0.0","--","--","84","--","--","--","0.0","--","--","--","--","--","--"
running,2016-09-06 07:13:17,false,"Glenview Running","4.15","426","35:39","--","--","0.0","159","241","8:35","3:13","3","11","1.18","0.0","0.0","--","--","79","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-31 07:12:50,false,"Glenview Running","4.43","477","36:31","--","--","0.0","165","180","8:15","5:32","22","27","1.18","0.0","0.0","--","--","82","--","--","--","0.0","--","--","--","--","--","--"
street_running,2016-08-26 19:00:40,false,"Rock the Night 5k","3.08","330","21:46","--","--","0.0","173","189","7:04","5:25","7","10","1.32","0.0","0.0","--","--","86","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-23 07:01:26,false,"Glenview Running","3.62","382","29:59","--","--","0.0","168","203","8:17","4:59","8","5","1.16","0.0","0.0","--","--","84","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-22 07:19:47,false,"Glenview Running","3.78","409","33:54","--","--","0.0","155","175","8:58","3:10","10","10","1.16","0.0","0.0","--","--","77","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-20 12:44:22,false,"Glenview Running","4.31","465","35:34","--","--","0.0","164","173","8:15","7:36","22","9","1.19","0.0","0.0","--","--","81","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-12 07:23:42,false,"Glenview Running","5.38","583","44:31","--","--","0.0","165","183","8:16","7:33","32","29","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-10 07:11:29,false,"Glenview Running","3.91","418","31:44","--","--","0.0","163","242","8:07","4:28","10","9","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-09 06:58:55,false,"Glenview Running","5.76","620","48:04","--","--","0.0","160","180","8:20","4:43","32","28","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-07 08:00:50,false,"Chicago 10k","6.34","693","48:55","--","--","0.0","165","189","7:43","4:42","48","44","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-03 07:18:21,false,"Glenview Running","4.00","421","36:53","--","--","0.0","149","236","9:13","0:48","19","13","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-08-01 09:44:38,false,"Milwaukee Running","3.24","351","26:08","--","--","0.0","164","176","8:04","6:09","3","--","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-07-21 06:48:35,false,"Glenview Nas Running","3.93","413","43:16","--","--","0.0","125","180","11:01","6:29","11","10","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-07-15 07:19:44,false,"Glenview Running","5.05","546","41:37","--","--","0.0","163","177","8:14","6:59","23","10","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-07-12 07:27:20,false,"Glenview Running","4.55","485","42:14","--","--","0.0","153","177","9:17","6:57","24","23","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-07-07 08:50:59,false,"Glenview Running","3.95","421","32:54","--","--","0.0","163","225","8:20","5:18","10","10","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-07-05 08:16:25,false,"Glenview Running","4.50","478","35:54","--","--","0.0","165","231","7:59","3:52","42","36","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-07-01 07:54:36,false,"Glenview Running","3.66","388","30:10","--","--","0.0","166","203","8:15","4:57","10","10","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-06-29 07:31:19,false,"Glenview Running","5.19","561","43:23","--","--","0.0","167","177","8:22","7:33","19","18","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-06-28 07:14:16,false,"Glenview Nas Running","3.88","409","34:55","--","--","0.0","149","249","8:59","4:55","3","10","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-06-25 08:01:03,false,"Chicago Running","2.98","330","23:06","--","--","0.0","169","181","7:45","5:32","9","--","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
